,date
639,36327
640,36328
641,36329
642,36330
643,36331
644,36332
645,36333
646,36334
647,36335
648,36336
649,36337
650,36338
651,36339
652,36340
653,36341
654,36342
655,36343
656,36344
657,36345
658,36346
659,36347
660,36348
661,36349
662,36350
663,36351
664,36352
665,36353
666,36354
667,36355
668,36356
669,36357
670,36358
671,36359
672,36360
673,36361
674,36362
675,36363
676,36364
677,36365
678,36366
679,36367
680,36368
681,36369
682,36370
683,36371
684,36372
685,36373
686,36374
687,36375
688,36376
689,36377
690,36378
691,36379
692,36380
693,36381
694,36382
695,36383
696,36384
697,36385
698,36386
699,36387
700,36388
701,36389
702,36390
703,36391
704,36392
705,36393
706,36394
707,36395
708,36396
709,36397
710,36398
711,36399
712,36400
713,36401
714,36402
715,36403
716,36404
717,36405
718,36406
719,36407
720,36408
721,36409
722,36410
723,36411
724,36412
725,36413
726,36414
727,36415
728,36416
729,36417
730,36418
731,36419
732,36420
733,36421
734,36422
735,36423
736,36424
737,36425
738,36426
739,36427
740,36428
741,36429
742,36430
743,36431
744,36432
745,36433
746,36434
747,36435
748,36436
749,36437
750,36438
751,36439
752,36440
753,36441
754,36442
755,36443
756,36444
757,36445
758,36446
759,36447
760,36448
761,36449
762,36450
763,36451
764,36452
765,36453
766,36454
767,36455
768,36456
769,36457
770,36458
771,36459
772,36460
773,36461
774,36462
775,36463
776,36464
777,36465
778,36466
779,41297
780,41298
781,41299
782,41300
783,41301
784,41302
785,41303
786,41304
787,41305
788,41306
789,41307
790,41308
791,41309
792,41310
793,41311
794,41312
795,41313
796,41314
797,41315
798,41316
799,41317
800,41318
801,41319
802,41320
803,41321
804,41322
805,41323
806,41324
807,41325
808,41326
809,41327
810,41328
811,41329
812,41330
813,41331
814,41332
815,41333
816,41334
817,41335
818,41336
819,41337
820,41338
821,41339
822,41340
823,41341
824,41342
825,41343
826,41344
827,41345
828,41346
829,41347
830,41348
831,41349
832,41350
833,41351
834,41352
835,41353
836,41354
837,41355
838,41356
839,41357
840,41358
841,41359
842,41360
843,41361
844,41362
845,41363
846,41364
847,41365
848,41366
849,41367
850,41368
851,41369
852,41370
853,41371
854,41372
855,41373
856,41374
857,41375
858,41376
859,41377
860,41378
861,41379
862,41380
863,41381
864,41382
865,41383
866,41384
867,41385
868,41386
869,41387
870,41388
871,41389
872,41390
873,41391
874,41392
875,41393
876,41394
877,41395
878,41396
879,41397
880,41398
881,41399
882,41400
883,41401
884,41402
885,41403
886,41404
887,41405
888,41406
889,41407
890,41408
891,41409
892,41410
893,41411
894,41412
895,41413
896,41414
897,41415
898,41416
899,41417
900,41418
901,41419
902,41420
903,41421
904,41422
905,41423
906,41424
907,41425
908,41426
909,41427
910,41428
911,41429
912,41430
913,41431
914,41432
915,41433
916,41434
917,41435
918,41436
919,41437
920,41438
921,41439
922,41440
923,41441
924,41442
925,41443
926,41444
927,41445
928,41446
929,41447
930,41448
931,41449
932,41450
933,41451
934,41452
935,41453
936,41454
937,41455
938,41456
939,41457
940,41458
941,41459
942,41460
943,41461
944,41462
945,41463
946,41464
947,41465
948,41466
949,41467
950,41468
951,41469
952,41470
953,41471
954,41472
955,41473
956,41474
957,41475
958,41476
959,41477
960,41478
961,41479
962,41480
963,41481
964,41482
965,41483
966,41484
967,41485
968,41486
969,41487
970,41488
971,41489
972,41490
973,41491
974,41492
975,41493
976,41494
977,41495
978,41496
979,41497
980,41498
981,41499
982,41500
983,41501
984,41502
985,41503
986,41504
987,41505
988,41506
989,41507
990,41508
991,41509
992,41510
993,41511
994,41512
995,41513
996,41514
997,41515
998,41516
999,41517
1000,41518
1001,41519
1002,41520
1003,41521
1004,41522
1005,41523
1006,41524
1007,41525
1008,41526
1009,41527
1010,41528
1011,41529
1012,41530
1013,41531
1014,41532
1015,41533
1016,41534
1017,41535
1018,41536
1019,41537
1020,41538
1021,41539
1022,41540
1023,41541
1024,41542
1025,41543
1026,41544
1027,41545
1028,41546
1029,41547
1030,41548
1031,41549
1032,41550
1033,41551
1034,41552
1035,41553
1036,41554
1037,41555
1038,41556
1039,41557
1040,41558
1041,41559
1042,41560
1043,41561
1044,41562
1045,41563
1046,41564
1047,41565
1048,41566
1049,41567
1050,41568
1051,41569
1052,41570
1053,41571
1054,41572
1055,41573
1056,41574
1057,41575
1058,41576
1059,41577
1060,41578
1061,41579
1062,41580
1063,41581
1064,41582
1065,41583
1066,41584
1067,41585
1068,41586
1069,41587
1070,41588
1071,41589
1072,41590
1073,41591
1074,41592
1075,41593
1076,41594
1077,41595
1078,41596
1079,41597
1080,41598
1081,41599
1082,41600
1083,41601
1084,41602
1085,41603
1086,41604
1087,41605
1088,41606
1089,41607
1090,41608
1091,41609
1092,41610
1093,41611
1094,41612
1095,41613
1096,41614
1097,41615
1098,41616
1099,41617
1100,41618
1101,41619
1102,41620
1103,41621
1104,41622
1105,41623
1106,41624
1107,41625
1108,41626
1109,41627
1110,41628
1111,41629
1112,41630
1113,41631
1114,41632
1115,41633
1116,41634
1117,41635
1118,41636
1119,41637
1120,41638
1121,41639
1122,41640
1123,41641
1124,41642
1125,41643
1126,41644
1127,41645
1128,41646
1129,41647
1130,41648
1131,41649
1132,41650
1133,41651
1134,41652
1135,41653
1136,41654
1137,41655
1138,41656
1139,41657
1140,41658
1141,41659
1142,41660
1143,41661
1144,41662
1145,41663
1146,41664
1147,41665
1148,41666
1149,41667
1150,41668
1151,41669
1152,41670
1153,41671
1154,41672
1155,41673
1156,41674
1157,41675
1158,41676
1159,41677
1160,41678
1161,41679
1162,41680
1163,41681
1164,41682
1165,41683
1166,41684
1167,41685
1168,41686
1169,41687
1170,41688
1171,41689
1172,41690
1173,41691
1174,41692
1175,41693
1176,41694
1177,41695
1178,41696
1179,41697
1180,41698
1181,41699
1182,41700
1183,41701
1184,41702
1185,41703
1186,41704
1187,41705
1188,41706
1189,41707
1190,41708
1191,41709
1192,41710
1193,41711
1194,41712
1195,41713
1196,41714
1197,41715
1198,41716
1199,41717
1200,41718
1201,41719
1202,41720
1203,41721
1204,41722
1205,41723
1206,41724
1207,41725
1208,41726
1209,41727
1210,41728
1211,41729
1212,41730
1213,41731
1214,41732
1215,41733
1216,41734
1217,41735
1218,41736
1219,41737
1220,41738
1221,41739
1222,41740
1223,41741
1224,41742
1225,41743
1226,41744
1227,41745
1228,41746
1229,41747
1230,41748
1231,41749
1232,41750
1233,41751
1234,41752
1235,41753
1236,41754
1237,41755
1238,41756
1239,41757
1240,41758
1241,41759
1242,41760
1243,41761
1244,41762
1245,41763
1246,41764
1247,41765
1248,41766
1249,41767
1250,41768
1251,41769
1252,41770
1253,41771
1254,41772
1255,41773
1256,41774
1257,41775
1258,41776
1259,41777
1260,41778
1261,41779
1262,41780
1263,41781
1264,41782
1265,41783
1266,41784
1267,41785
1268,41786
1269,41787
1270,41788
1271,41789
1272,41790
1273,41791
1274,41792
1275,41793
1276,41794
1277,41795
1278,41796
1279,41797
1280,41798
1281,41799
1282,41800
1283,41801
1284,41802
1285,41803
1286,41804
1287,41805
1288,41806
1289,41807
1290,41808
1291,41809
1292,41810
1293,41811
1294,41812
1295,41813
1296,41814
1297,41815
1298,41816
1299,41817
1300,41818
1301,41819
1302,41820
1303,41821
1304,41822
1305,41823
1306,41824
1307,41825
1308,41826
1309,41827
1310,41828
1311,41829
1312,41830
1313,41831
1314,41832
1315,41833
1316,41834
1317,41835
1318,41836
1319,41837
1320,41838
1321,41839
1322,41840
1323,41841
1324,41842
1325,41843
1326,41844
1327,41845
1328,41846
1329,41847
1330,41848
1331,41849
1332,41850
1333,41851
1334,41852
1335,41853
1336,41854
1337,41855
1338,41856
1339,41857
1340,41858
1341,41859
1342,41860
1343,41861
1344,41862
1345,41863
1346,41864
1347,41865
1348,41866
1349,41867
1350,41868
1351,41869
1352,41870
1353,41871
1354,41872
1355,41873
1356,41874
1357,41875
1358,41876
1359,41877
1360,41878
1361,41879
1362,41880
1363,41881
1364,41882
1365,41883
1366,41884
1367,41885
1368,41886
1369,41887
1370,41888
1371,41889
1372,41890
1373,41891
1374,41892
1375,41893
1376,41894
1377,41895
1378,41896
1379,41897
1380,41898
1381,41899
1382,41900
1383,41901
1384,41902
1385,41903
1386,41904
1387,41905
1388,41906
1389,41907
1390,41908
1391,41909
1392,41910
1393,41911
1394,41912
1395,41913
1396,41914
1397,41915
1398,41916
1399,41917
1400,41918
1401,41919
1402,41920
1403,41921
1404,41922
1405,41923
1406,41924
1407,41925
1408,41926
1409,41927
1410,41928
1411,41929
1412,41930
1413,41931
1414,41932
1415,41933
1416,41934
1417,41935
1418,41936
1419,41937
1420,41938
1421,41939
1422,41940
1423,41941
1424,41942
1425,41943
1426,41944
1427,41945
1428,41946
1429,41947
1430,41948
1431,41949
1432,41950
1433,41951
1434,41952
1435,41953
1436,41954
1437,41955
1438,41956
1439,41957
1440,41958
1441,41959
1442,41960
1443,41961
1444,41962
1445,41963
1446,41964
1447,41965
1448,41966
1449,41967
1450,41968
1451,41969
1452,41970
1453,41971
1454,41972
1455,41973
1456,41974
1457,41975
1458,41976
1459,41977
1460,41978
1461,41979
1462,41980
1463,41981
1464,41982
1465,41983
1466,41984
1467,41985
1468,41986
1469,41987
1470,41988
1471,41989
1472,41990
1473,41991
1474,41992
1475,41993
1476,41994
1477,41995
1478,41996
1479,41997
1480,41998
1481,41999
1482,42000
1483,42001
1484,42002
1485,42003
1486,42004
1487,42005
1488,42006
1489,42007
1490,42008
1491,42009
1492,42010
1493,42011
1494,42012
1495,42013
1496,42014
1497,42015
1498,42016
1499,42017
1500,42018
1501,42019
1502,42020
1503,42021
1504,42022
1505,42023
1506,42024
1507,42025
1508,42026
1509,42027
1510,42028
1511,42029
1512,42030
1513,42031
1514,42032
1515,42033
1516,42034
1517,42035
1518,42036
1519,42037
1520,42038
1521,42039
1522,42040
1523,42041
1524,42042
1525,42043
1526,42044
1527,42045
1528,42046
1529,42047
1530,42048
1531,42049
1532,42050
1533,42051
1534,42052
1535,42053
1536,42054
1537,42055
1538,42056
1539,42057
1540,42058
1541,42059
1542,42060
1543,42061
1544,42062
1545,42063
1546,42064
1547,42065
1548,42066
1549,42067
1550,42068
1551,42069
1552,42070
1553,42071
1554,42072
1555,42073
1556,42074
1557,42075
1558,42076
1559,42077
1560,42078
1561,42079
1562,42080
1563,42081
1564,42082
1565,42083
1566,42084
1567,42085
1568,42086
1569,42087
1570,42088
1571,42089
1572,42090
1573,42091
1574,42092
1575,42093
1576,42094
1577,42095
1578,42096
1579,42097
1580,42098
1581,42099
1582,42100
1583,42101
1584,42102
1585,42103
1586,42104
1587,42105
1588,42106
1589,42107
1590,42108
1591,42109
1592,42110
1593,42111
1594,42112
1595,42113
1596,42114
1597,42115
1598,42116
1599,42117
1600,42118
1601,42119
1602,42120
1603,42121
1604,42122
1605,42123
1606,42124
1607,42125
1608,42126
1609,42127
1610,42128
1611,42129
1612,42130
1613,42131
1614,42132
1615,42133
1616,42134
1617,42135
1618,42136
1619,42137
1620,42138
1621,42139
1622,42140
1623,42141
1624,42142
1625,42143
1626,42144
1627,42145
1628,42146
1629,42147
1630,42148
1631,42149
1632,42150
1633,42151
1634,42152
1635,42153
1636,42154
1637,42155
1638,42156
1639,42157
1640,42158
1641,42159
1642,42160
1643,42161
1644,42162
1645,42163
1646,42164
1647,42165
1648,42166
1649,42167
1650,42168
1651,42169
1652,42170
1653,42171
1654,42172
1655,42173
1656,42174
1657,42175
1658,42176
1659,42177
1660,42178
1661,42179
1662,42180
1663,42181
1664,42182
1665,42183
1666,42184
1667,42185
1668,42186
1669,42187
1670,42188
1671,42189
1672,42190
1673,42191
1674,42192
1675,42193
1676,42194
1677,42195
1678,42196
1679,42197
1680,42198
1681,42199
1682,42200
1683,42201
1684,42202
1685,42203
1686,42204
1687,42205
1688,42206
1689,42207
1690,42208
1691,42209
1692,42210
1693,42211
1694,42212
1695,42213
1696,42214
1697,42215
1698,42216
1699,42217
1700,42218
1701,42219
1702,42220
1703,42221
1704,42222
1705,42223
1706,42224
1707,42225
1708,42226
1709,42227
1710,42228
1711,42229
1712,42230
1713,42231
1714,42232
1715,42233
1716,42234
1717,42235
1718,42236
1719,42237
1720,42238
1721,42239
1722,42240
1723,42241
1724,42242
1725,42243
1726,42244
1727,42245
1728,42246
1729,42247
1730,42248
1731,42249
1732,42250
1733,42251
1734,42252
1735,42253
1736,42254
1737,42255
1738,42256
1739,42257
1740,42258
1741,42259
1742,42260
1743,42261
1744,42262
1745,42263
1746,42264
1747,42265
1748,42266
1749,42267
1750,42268
1751,42269
1752,42270
1753,42271
1754,42272
1755,42273
1756,42274
1757,42275
1758,42276
1759,42277
1760,42278
1761,42279
1762,42280
1763,42281
1764,42282
1765,42283
1766,42284
1767,42285
1768,42286
1769,42287
1770,42288
1771,42289
1772,42290
1773,42291
1774,42292
1775,42293
1776,42294
1777,42295
1778,42296
1779,42297
1780,42298
1781,42299
1782,42300
1783,42301
1784,42302
1785,42303
1786,42304
1787,42305
1788,42306
1789,42307
1790,42308
1791,42309
1792,42310
1793,42311
1794,42312
1795,42313
1796,42314
1797,42315
1798,42316
1799,42317
1800,42318
1801,42319
1802,42320
1803,42321
1804,42322
1805,42323
1806,42324
1807,42325
1808,42326
1809,42327
1810,42328
1811,42329
1812,42330
1813,42331
1814,42332
1815,42333
1816,42334
1817,42335
1818,42336
1819,42337
1820,42338
1821,42339
1822,42340
1823,42341
1824,42342
1825,42343
1826,42344
1827,42345
1828,42346
1829,42347
1830,42348
1831,42349
1832,42350
1833,42351
1834,42352
1835,42353
1836,42354
1837,42355
1838,42356
1839,42357
1840,42358
1841,42359
1842,42360
1843,42361
1844,42362
1845,42363
1846,42364
1847,42365
1848,42366
1849,42367
1850,42368
1851,42369
1852,42370
1853,42371
1854,42372
1855,42373
1856,42374
1857,42375
1858,42376
1859,42377
1860,42378
1861,42379
1862,42380
1863,42381
1864,42382
1865,42383
1866,42384
1867,42385
1868,42386
1869,42387
1870,42388
1871,42389
1872,42390
1873,42391
1874,42392
1875,42393
1876,42394
1877,42395
1878,42396
1879,42397
1880,42398
1881,42399
1882,42400
1883,42401
1884,42402
1885,42403
1886,42404
1887,42405
1888,42406
1889,42407
1890,42408
1891,42409
1892,42410
1893,42411
1894,42412
1895,42413
1896,42414
1897,42415
1898,42416
1899,42417
1900,42418
1901,42419
1902,42420
1903,42421
1904,42422
1905,42423
1906,42424
1907,42425
1908,42426
1909,42427
1910,42428
1911,42429
1912,42430
1913,42431
1914,42432
1915,42433
1916,42434
1917,42435
1918,42436
1919,42437
1920,42438
1921,42439
1922,42440
1923,42441
1924,42442
1925,42443
1926,42444
1927,42445
1928,42446
1929,42447
1930,42448
1931,42449
1932,42450
1933,42451
1934,42452
1935,42453
1936,42454
1937,42455
1938,42456
1939,42457
1940,42458
1941,42459
1942,42460
1943,42461
1944,42462
1945,42463
1946,42464
1947,42465
1948,42466
1949,42467
1950,42468
1951,42469
1952,42470
1953,42471
1954,42472
1955,42473
1956,42474
1957,42475
1958,42476
1959,42477
1960,42478
1961,42479
1962,42480
1963,42481
1964,42482
1965,42483
1966,42484
1967,42485
1968,42486
1969,42487
1970,42488
1971,42489
1972,42490
1973,42491
1974,42492
1975,42493
1976,42494
1977,42495
1978,42496
1979,42497
1980,42498
1981,42499
1982,42500
1983,42501
1984,42502
1985,42503
1986,42504
1987,42505
1988,42506
1989,42507
1990,74430
1991,74431
1992,74432
1993,74433
1994,74434
1995,74435
1996,74436
1997,74437
1998,74438
1999,74439
2000,74440
2001,74441
2002,74442
2003,74443
2004,74444
2005,74445
2006,74446
2007,74447
2008,74448
2009,74449
2010,74450
2011,74451
2012,74452
2013,74453
2014,74454
2015,74455
2016,74456
2017,74457
2018,74458
2019,74459
2020,74460
2021,74461
2022,74462
2023,74463
2024,74464
2025,74465
2026,74466
2027,74467
2028,74468
2029,74469
2030,74470
2031,74471
2032,74472
2033,74473
2034,74474
2035,74475
2036,74476
2037,74477
2038,74478
2039,74479
2040,74480
2041,74481
2042,74482
2043,74483
2044,74484
2045,74485
2046,74486
2047,74487
2048,74488
2049,74489
2050,74490
2051,74491
2052,74492
2053,74493
2054,74494
2055,74495
2056,74496
2057,74497
2058,74498
2059,74499
2060,74500
2061,74501
2062,74502
2063,74503
2064,74504
2065,74505
2066,74506
2067,74507
2068,74508
2069,74509
2070,74510
2071,74511
2072,74512
2073,74513
2074,74514
2075,74515
2076,74516
2077,74517
2078,74518
2079,74519
2080,74520
2081,74521
2082,74522
2083,74523
2084,74524
2085,74525
2086,74526
2087,74527
2088,74528
2089,74529
2090,74530
2091,74531
2092,74532
2093,74533
2094,74534
2095,74535
2096,74536
2097,74537
2098,74538
2099,74539
2100,74540
2101,74541
2102,74542
2103,74543
2104,74544
2105,74545
2106,74546
2107,74547
2108,74548
2109,74549
2110,74550
2111,74551
2112,74552
2113,74553
2114,74554
2115,74555
2116,74556
2117,74557
2118,74558
2119,74559
2120,74560
2121,74561
2122,74562
2123,74563
2124,74564
2125,74565
2126,74566
2127,74567
2128,74568
2129,74569
2130,74570
2131,74571
2132,74572
2133,74573
2134,74574
2135,74575
